iter	Passed	Remaining
409	4430	6375
410	4445	6370
411	4479	6393
412	4500	6396
413	4508	6381
414	4514	6364
415	4523	6349
416	4530	6333
417	4537	6318
418	4545	6302
419	4552	6286
420	4559	6271
421	4566	6254
422	4604	6280
423	4610	6262
424	4616	6245
425	4647	6262
426	4655	6247
427	4662	6230
428	4671	6217
429	4677	6200
430	4685	6185
431	4691	6168
432	4698	6152
433	4705	6137
434	4712	6120
435	4721	6107
436	4728	6091
437	4736	6077
438	4743	6061
439	4749	6045
440	4787	6068
441	4793	6052
442	4815	6054
443	4821	6038
444	4828	6022
445	4836	6007
446	4843	5992
447	4851	5977
448	4857	5961
449	4865	5946
450	4871	5929
451	4877	5913
452	4885	5899
453	4892	5883
454	4899	5869
455	4905	5852
456	4912	5836
457	4918	5821
458	4924	5804
459	4933	5791
460	4940	5776
461	4949	5763
462	4966	5760
463	4973	5744
464	4982	5732
465	4988	5716
466	4998	5704
467	5016	5702
468	5022	5686
469	5031	5673
470	5037	5657
471	5044	5643
472	5051	5627
473	5057	5612
474	5065	5599
475	5072	5583
476	5081	5572
477	5088	5556
478	5096	5543
479	5103	5528
480	5112	5515
481	5117	5500
482	5124	5485
483	5131	5470
484	5138	5455
485	5145	5442
486	5151	5427
487	5160	5413
488	5166	5399
489	5173	5384
490	5180	5370
491	5187	5356
492	5195	5343
493	5202	5328
494	5211	5317
495	5217	5302
496	5226	5289
497	5232	5274
498	5239	5260
499	5246	5246
500	5252	5231
501	5261	5219
502	5267	5204
503	5275	5192
504	5282	5178
505	5291	5166
506	5297	5151
507	5307	5140
508	5313	5125
509	5320	5111
510	5327	5097
511	5333	5083
512	5341	5070
513	5347	5056
514	5356	5044
515	5362	5029
516	5368	5015
517	5376	5003
518	5398	5003
519	5407	4991
520	5413	4977
521	5422	4965
522	5428	4951
523	5434	4936
524	5441	4923
525	5448	4909
526	5456	4897
527	5463	4883
528	5472	4872
529	5479	4858
530	5487	4847
531	5494	4833
532	5501	4819
533	5508	4806
534	5514	4793
535	5522	4780
536	5529	4767
537	5538	4756
538	5545	4742
539	5555	4732
540	5561	4718
541	5572	4708
542	5578	4695
543	5587	4683
544	5594	4670
545	5603	4659
546	5610	4646
547	5619	4635
548	5626	4622
549	5634	4610
550	5641	4597
551	5651	4586
552	5659	4574
553	5668	4563
554	5675	4550
555	5684	4539
556	5691	4526
557	5701	4515
558	5708	4503
559	5722	4496
560	5729	4483
561	5737	4471
562	5754	4466
563	5763	4455
564	5784	4453
565	5791	4440
566	5800	4429
567	5807	4416
568	5817	4406
569	5831	4399
570	5838	4386
571	5849	4376
572	5856	4364
573	5865	4353
574	5872	4340
575	5881	4329
576	5889	4317
577	5899	4306
578	5905	4293
579	5914	4282
580	5921	4270
581	5928	4258
582	5935	4245
583	5949	4237
584	5956	4225
585	5969	4217
586	5978	4206
587	5984	4193
588	5990	4180
589	5999	4169
590	6005	4156
591	6029	4155
592	6036	4142
593	6045	4132
594	6051	4119
595	6060	4108
596	6067	4095
597	6076	4084
598	6095	4080
599	6101	4067
600	6111	4057
601	6117	4044
602	6126	4033
603	6132	4020
604	6141	4009
605	6148	3997
606	6153	3984
607	6167	3976
608	6183	3969
609	6192	3959
610	6199	3946
611	6206	3935
612	6214	3923
613	6220	3910
614	6228	3899
615	6235	3887
616	6274	3894
617	6281	3882
618	6291	3872
619	6297	3859
620	6306	3849
621	6313	3836
622	6322	3825
623	6328	3813
624	6335	3801
625	6341	3788
626	6348	3776
627	6355	3764
628	6361	3752
629	6368	3740
630	6375	3728
631	6382	3716
632	6389	3704
633	6402	3695
634	6408	3683
635	6415	3671
636	6422	3659
637	6428	3647
638	6436	3636
639	6443	3624
640	6458	3617
641	6464	3604
642	6471	3592
643	6477	3580
644	6486	3569
645	6493	3558
646	6502	3547
647	6536	3550
648	6543	3538
649	6551	3527
650	6558	3515
651	6565	3504
652	6572	3492
653	6579	3480
654	6601	3477
655	6608	3465
656	6627	3460
657	6642	3452
658	6650	3441
659	6657	3429
660	6664	3417
661	6670	3405
662	6677	3393
663	6684	3382
664	6691	3370
665	6699	3359
666	6705	3347
667	6713	3336
